Key,Ort_R,Std_R,Car_R,Bas_R,Ort_G,Std_G,Car_G,Bas_G,Ort_B,Std_B,Car_B,Bas_B,Like,Boy_3/4 kol,Boy_Kısa Kol,Boy_Uzun Kol
203,0.3170731707317073,0.6771497873463344,0.7153679709384542,0.0362079532142717,0.9920948616600532,0.7323265946928224,0.7562827872170388,0.0243023382622218,0.4,0.7611213261597823,0.7735994821660293,0.0226455669943884,0.2403560830860534,0,1,0
205,0.5853658536585367,0.7754745363096456,0.7980047218050534,0.0207858622040494,0.2411067193675889,0.7799641970336553,0.7988627234149603,0.0182129366321236,0.9490196078430858,0.7920216061376674,0.8045924223166454,0.0186182919129427,0.3777777777777777,0,1,0
206,0.6300813008129549,0.8319164449164644,0.8567293049828208,0.0140553929403542,0.5533596837944406,0.8569410982088761,0.8785595038545915,0.0102916517809131,0.4039215686274252,0.8681462353954427,0.881545128557029,0.0103258005849711,0.3020833333333333,0,1,0
208,1.0,0.7205286342254467,0.7422707133398683,0.0287295662088816,0.6600790513833734,0.7675792396554542,0.7833889996829,0.0196972023750928,0.9647058823529412,0.8370742751474362,0.8426053312780633,0.0134584898167995,0.3529411764705882,0,1,0
214,0.8130081300812475,0.5544323281914498,0.6299226233758954,0.0654283589824069,0.5415019762845591,0.5704758648508519,0.6518207630309263,0.0554756006445852,0.4784313725489681,0.56414777425663,0.6423667363982464,0.0623952468142702,0.2371794871794871,0,1,0
219,0.1219512195121951,0.420308180512664,0.5062505072150285,0.1197746892414963,0.0869565217391304,0.4400831563228551,0.5275135809577387,0.1012155918807278,0.9647058823529412,0.45832029229215,0.5467579413474337,0.1007743890647033,0.2566371681415929,0,1,0
221,0.7398373983739305,0.5226103555947503,0.5763396147671638,0.0756504777471224,0.9604743083003436,0.5742940992364978,0.6191045292596269,0.0544848685909651,0.9686274509803664,0.7334015355703803,0.7458311507284019,0.0266462452857719,0.60625,0,1,0
223,0.2682926829268293,0.2951320348841847,0.3638835626994277,0.2118059722311198,0.1383399209485907,0.103436671831071,0.2264279476278631,0.536178720211561,0.7411764705882353,0.0838922444694599,0.2123695178646789,0.6133567403651247,0.2765957446808511,0,1,0
224,0.6138211382113554,0.160413143930061,0.2211377854635841,0.4084052178038434,0.2252964426876952,0.2521597579102961,0.2682333406525079,0.2452234609285625,0.5215686274509547,0.321253226927471,0.3131661438206716,0.1872775027498324,0.2896358543417367,0,1,0
228,0.0528455284552845,0.793015852137628,0.8053206650410467,0.0185547431438613,0.0395256916996047,0.756792557331202,0.7670580593022509,0.0210454857477827,0.1960784313724976,0.7700010021161202,0.7741234571081721,0.021444227759654,0.3432835820895522,0,1,0
229,0.1788617886178329,0.629518933841108,0.7061433375872104,0.0459343365018573,0.6007905138339663,0.6500270144458917,0.7203573254403866,0.037712162289105,0.1215686274509546,0.6713862197695154,0.7335079608176034,0.0371850920476197,0.4552845528455284,0,1,0
233,0.0853658536585365,0.752260439631022,0.7841532148049846,0.0239563017536788,0.6205533596837945,0.7939996970374568,0.8242138077170962,0.0166066555585874,0.2313725490195564,0.8375227056157154,0.8608227098683818,0.0134116928995839,0.4612068965517241,0,1,0
245,0.906504065040624,0.4445412929487864,0.5178605324574563,0.1074511031000148,0.0158102766798419,0.4892761631545841,0.5576368698030805,0.0808145831032013,0.1098039215686017,0.5269879880637279,0.5870378253375288,0.0739693079004867,0.5074626865671642,0,1,0
246,0.040650406504065,0.6265778794826442,0.6734716779175431,0.0465948996574597,0.5731225296442689,0.6299651523278722,0.6791478023608424,0.0416740724518384,0.6784313725489681,0.7561856879276029,0.7711242121738735,0.0233293939231202,0.4307692307692308,0,1,0
248,0.8577235772357458,0.4925523889591272,0.5577036543734197,0.0866418215242973,0.2252964426876952,0.5728056541975302,0.6178405536651188,0.0548703433442259,0.8196078431372035,0.6220159137032563,0.6572705835486381,0.0474972113935067,0.4929577464788732,0,1,0
252,0.2560975609756097,0.7903484474617484,0.8121656665480479,0.0188852787507467,0.8616600790513577,0.8045806528334143,0.8210083711918457,0.0154469203989394,0.2784313725489682,0.82236215536569,0.8308226239847423,0.0150589309284371,0.5,0,1,0
